"","LAT_REL","LONG_REL","LAT_REC","LONG_REC","TAG_NUMBER","PROGRAM","RELDT","RECDT","DAL","INDEX","REC_YEAR","REL_AREA","REC_AREA","REL_MONTH","REC_MONTH","REL_YEAR","DISTANCE","SPEED","COUNT","REC_REGION","REL_REGION","BEARING","dir.binned"
"55",60.33666667,-177.4016667,56.21666667,-170.9,5348,"RACE","7/31/1986","2/6/1991",1651,303,1991,524,521,7,2,1986,596.198212035741,0.361113393116742,1,"EBS","EBS",140.352667505445,"150"
"56",60.0275,-177.2333333,59.13333333,-177.8666667,5356,"RACE","7/31/1986","12/3/1986",125,305,1986,524,521,7,12,1986,105.846638595423,0.846773108763383,1,"EBS","EBS",199.728087507881,"210"
"57",60.0275,-177.2333333,59.03333333,-178,5360,"RACE","7/31/1986","10/5/1987",431,306,1987,524,521,7,10,1986,118.946625985206,0.275978250545722,1,"EBS","EBS",201.355988084423,"210"
"58",60.96833333,-174.1866667,58.98333333,-177.9166667,6136,"RACE","7/22/1987","3/28/1990",980,353,1990,524,521,7,3,1987,303.704667229074,0.30990272166232,1,"EBS","EBS",223.2256162215,"210"
"59",61,-175.7166667,58.64333333,-175.6666667,9727,"RACE","7/31/1989","2/13/1991",562,373,1991,524,521,7,2,1989,262.569249150451,0.467205069662724,1,"EBS","EBS",179.389242075385,"180"
"60",59.69833333,-171.91,59.25,-177.3333333,1471,"RACE","7/12/1983","8/10/1985",760,99,1985,521,521,7,8,1983,311.350840548354,0.409672158616256,1,"EBS","EBS",260.755738703062,"270"
"61",57.32433333,-173.3233333,56.48333333,-171.5333333,1511,"RACE","7/27/1983","11/1/1985",828,100,1985,521,521,7,11,1983,143.746277873536,0.173606615789295,1,"EBS","EBS",130.711028627575,"120"
"62",58.32583333,-173.545,58.34166667,-174.1416667,1513,"RACE","7/27/1983","9/11/1987",1507,101,1987,521,521,7,9,1983,34.998068512791,0.0232236685552694,1,"EBS","EBS",272.893737191319,"270"
"63",59.32516667,-173.7816667,57.73333333,-174.0666667,1529,"RACE","7/28/1983","12/26/1984",517,102,1984,521,521,7,12,1983,178.084627454313,0.344457693335228,1,"EBS","EBS",185.338816138065,"180"
"64",59.32516667,-173.7816667,56.11666667,-170.3166667,1530,"RACE","7/28/1983","3/17/1984",233,103,1984,521,521,7,3,1983,412.581737440718,1.77073707056102,1,"EBS","EBS",150.045846071446,"150"
"65",59.65116667,-176.5616667,59.02,-175.44,1598,"RACE","8/1/1983","12/17/1985",869,106,1985,521,521,8,12,1983,94.9677502823096,0.10928394739046,1,"EBS","EBS",137.813276123985,"150"
"66",59.98483333,-176.6166667,59.75,-178.5666667,1607,"RACE","8/1/1983","10/22/1984",448,107,1984,521,521,8,10,1983,112.329659596987,0.250735847314704,1,"EBS","EBS",256.509954584876,"270"
"67",57.50883333,-172.0033333,57.93333333,-173.8166667,4262,"RACE","9/10/1984","11/7/1985",423,168,1985,521,521,9,11,1984,117.94494743622,0.278829662969788,1,"EBS","EBS",293.670735454815,"300"
"68",57.50883333,-172.0033333,57.53333333,-172.1833333,4269,"RACE","9/10/1984","6/20/1985",283,169,1985,521,521,9,6,1984,11.125424970257,0.0393124557252898,1,"EBS","EBS",284.223257351619,"270"
"69",57.50883333,-172.0033333,56.4,-171.1,4277,"RACE","9/10/1984","3/1/1987",902,170,1987,521,521,9,3,1984,135.15647809833,0.149840884809679,1,"EBS","EBS",156.048975896571,"150"
"70",57.50883333,-172.0033333,56.31666667,-170.3333333,4287,"RACE","9/10/1984","5/22/1986",619,172,1986,521,521,9,5,1984,167.240642543011,0.270178744011327,1,"EBS","EBS",142.596822406965,"150"
"71",57.50883333,-172.0033333,56.55,-170.8333333,4291,"RACE","9/10/1984","2/27/1987",900,173,1987,521,521,9,2,1984,128.248854530356,0.142498727255951,1,"EBS","EBS",146.41518757047,"150"
"72",57.50666667,-171.995,57.8,-172.25,4319,"RACE","9/10/1984","7/9/1985",302,179,1985,521,521,9,7,1984,36.0421666610679,0.119344922718768,1,"EBS","EBS",335.056036787536,"330"
"73",57.50666667,-171.995,56.2,-170.78,4326,"RACE","9/10/1984","5/19/1987",981,181,1987,521,521,9,5,1984,163.294780898223,0.166457472883,1,"EBS","EBS",153.052909155525,"150"
"74",57.49866667,-172.01,56.53333333,-170.2666667,4330,"RACE","9/10/1984","1/27/1986",504,182,1986,521,521,9,1,1984,150.891916538191,0.299388723290062,1,"EBS","EBS",135.488405208221,"150"
"75",57.49866667,-172.01,57.2,-172.75,4336,"RACE","9/10/1984","11/5/1986",786,183,1986,521,521,9,11,1984,55.5957849967984,0.070732550886512,1,"EBS","EBS",233.200198183149,"240"
"76",57.49866667,-172.01,56.51666667,-171.5833333,4349,"RACE","9/10/1984","12/9/1984",90,184,1984,521,521,9,12,1984,112.385741907088,1.24873046563431,1,"EBS","EBS",166.690045366647,"180"
"77",57.49866667,-172.01,56.2,-170.45,4350,"RACE","9/10/1984","1/26/1986",503,185,1986,521,521,9,1,1984,173.120955381883,0.344176849665771,1,"EBS","EBS",146.702899419796,"150"
"78",57.49866667,-172.01,57.23333333,-173.1333333,4357,"RACE","9/10/1984","11/1/1986",782,187,1986,521,521,9,11,1984,73.7711489089034,0.0943365075561425,1,"EBS","EBS",246.346357843174,"240"
"79",57.49866667,-172.01,58.1,-174.1,4369,"RACE","9/10/1984","10/28/1985",413,189,1985,521,521,9,10,1984,141.166671953058,0.3418079224045,1,"EBS","EBS",298.366446573739,"300"
"80",57.50683333,-172.0266667,58.33333333,-174.1833333,4389,"RACE","9/10/1984","12/9/1985",455,190,1985,521,521,9,12,1984,157.49985961136,0.346153537607384,1,"EBS","EBS",305.814756922711,"300"
"81",57.4575,-171.9783333,58.63333333,-176.6833333,4417,"RACE","9/10/1984","6/2/1985",265,191,1985,521,521,9,6,1984,307.094112631505,1.15884570804342,1,"EBS","EBS",295.279159700565,"300"
"82",57.49116667,-171.9766667,56.65,-170.4166667,4428,"RACE","9/10/1984","2/15/1985",158,192,1985,521,521,9,2,1984,133.142329083717,0.842672968884287,1,"EBS","EBS",134.76887387703,"120"
"83",57.49116667,-171.9766667,57.53333333,-172.1833333,4433,"RACE","9/10/1984","6/20/1985",283,193,1985,521,521,9,6,1984,13.2468282874184,0.046808580520913,1,"EBS","EBS",290.799985620317,"300"
"84",58.00266667,-172.0366667,59.44166667,-177.3416667,4491,"RACE","9/11/1984","10/28/1985",412,198,1985,521,521,9,10,1984,346.508320956335,0.841039613971687,1,"EBS","EBS",297.589089651112,"300"
"85",56.70166667,-170.655,56.53333333,-170.8,4622,"RACE","9/12/1984","2/13/1985",154,200,1985,521,521,9,2,1984,20.7509421863312,0.134746377833319,1,"EBS","EBS",205.358885647459,"210"
"86",56.66033333,-170.3366667,56.46666667,-170.3333333,4624,"RACE","9/12/1984","12/17/1985",461,201,1985,521,521,9,12,1984,21.5661495089426,0.0467812353773159,1,"EBS","EBS",179.45662150336,"180"
"87",56.66033333,-170.3366667,56.18666667,-170.1366667,4625,"RACE","9/12/1984","10/25/1987",1138,202,1987,521,521,9,10,1984,54.1672242925057,0.0475986153712704,1,"EBS","EBS",166.856111284876,"180"
"88",56.66033333,-170.3366667,56.45,-170.4,4626,"RACE","9/12/1984","12/25/1985",469,203,1985,521,521,9,12,1984,23.7426282996192,0.0506239409373543,1,"EBS","EBS",189.42241805322,"180"
"89",56.66983333,-170.1133333,56.33166667,-170.05,7394,"RACE","7/8/1986","2/18/1987",225,282,1987,521,521,7,2,1986,37.8566123267206,0.16825161034098,1,"EBS","EBS",174.098509325239,"180"
"90",56.67116667,-171.3466667,56.75,-171.85,7408,"RACE","7/8/1986","11/23/1986",138,285,1986,521,521,7,11,1986,32.0512242556067,0.232255248229034,1,"EBS","EBS",285.926385434828,"300"
"91",56.67116667,-171.3466667,57.65,-174.1666667,7409,"RACE","7/8/1986","5/14/1987",310,286,1987,521,521,7,5,1986,202.45943174369,0.653094941108677,1,"EBS","EBS",302.624133069704,"300"
"92",57.32816667,-171.4633333,57.33833333,-172.2116667,7412,"RACE","7/9/1986","2/18/1987",224,287,1987,521,521,7,2,1986,45.0845691592401,0.201270398032322,1,"EBS","EBS",271.441849564964,"270"
"93",59.82166667,-173.6016667,58.08333333,-173.9833333,7464,"RACE","7/13/1986","8/8/1990",1487,288,1990,521,521,7,8,1986,194.881442142572,0.131056786914977,1,"EBS","EBS",186.458891308695,"180"
"94",57.68833333,-172.7133333,57.75833333,-173.3833333,7567,"RACE","7/24/1986","5/5/1990",1381,291,1990,521,521,7,5,1986,40.6780111393949,0.0294554751190405,1,"EBS","EBS",281.069976237814,"270"
"95",58.985,-174.9983333,57.88333333,-173.7,5208,"RACE","7/25/1986","10/13/1987",445,292,1987,521,521,7,10,1986,144.249605806417,0.324156417542509,1,"EBS","EBS",148.330894526731,"150"
"96",60.00133333,-175.9083333,59.58333333,-176.5333333,5251,"RACE","7/28/1986","12/8/1986",133,295,1986,521,521,7,12,1986,58.3106999505045,0.438426315417327,1,"EBS","EBS",216.953577730009,"210"
"97",59.0125,-175.735,56.81,-171.6393333,5265,"RACE","7/29/1986","2/5/1987",191,296,1987,521,521,7,2,1986,345.021545568138,1.80639552653475,1,"EBS","EBS",135.360797320385,"150"
"98",59.67333333,-176.5466667,59.00666667,-175.2816667,5290,"RACE","7/29/1986","7/7/1991",1804,298,1991,521,521,7,7,1986,103.427374269102,0.0573322473775511,1,"EBS","EBS",135.94400066755,"150"
"99",60.00166667,-177.8933333,58.63333333,-176.6333333,5368,"RACE","7/31/1986","12/21/1987",508,307,1987,521,521,7,12,1986,168.468363457295,0.331630636726958,1,"EBS","EBS",154.835586269755,"150"
"100",58.65166667,-176.8616667,56.26666667,-170.8333333,5391,"RACE","8/1/1986","8/30/1990",1490,308,1990,521,521,8,8,1986,448.584078614338,0.301063140009623,1,"EBS","EBS",126.346569906172,"120"
