YEAR,INDEX,TEMP,MODEL,SERIES,USED
2038,4,1.85298443,MPI_ESM_MR_2.6,2.6,Y
2039,4,2.10433578,MPI_ESM_MR_2.6,2.6,Y
2040,4,0.7240591,MPI_ESM_MR_2.6,2.6,Y
2041,4,0.35708618,MPI_ESM_MR_2.6,2.6,Y
2042,4,0.81450939,MPI_ESM_MR_2.6,2.6,Y
2043,4,3.26136208,MPI_ESM_MR_2.6,2.6,Y
2044,4,1.91362286,MPI_ESM_MR_2.6,2.6,Y
2045,4,2.75592041,MPI_ESM_MR_2.6,2.6,Y
2046,4,2.71441746,MPI_ESM_MR_2.6,2.6,Y
2047,4,1.49324512,MPI_ESM_MR_2.6,2.6,Y
2048,4,0.73947811,MPI_ESM_MR_2.6,2.6,Y
2049,4,1.55827713,MPI_ESM_MR_2.6,2.6,Y
2050,4,0.01716232,MPI_ESM_MR_2.6,2.6,Y
2051,4,0.94678116,MPI_ESM_MR_2.6,2.6,Y
2052,4,1.24381638,MPI_ESM_MR_2.6,2.6,Y
2053,4,0.87560463,MPI_ESM_MR_2.6,2.6,Y
2054,4,0.59269905,MPI_ESM_MR_2.6,2.6,Y
2055,4,1.45196819,MPI_ESM_MR_2.6,2.6,Y
2056,4,0.87111759,MPI_ESM_MR_2.6,2.6,Y
2057,4,1.22348881,MPI_ESM_MR_2.6,2.6,Y
2058,4,2.32748032,MPI_ESM_MR_2.6,2.6,Y
2059,4,1.64856052,MPI_ESM_MR_2.6,2.6,Y
2060,4,1.8365078,MPI_ESM_MR_2.6,2.6,Y
2061,4,1.57001305,MPI_ESM_MR_2.6,2.6,Y
2062,4,1.07224178,MPI_ESM_MR_2.6,2.6,Y
2063,4,0.85311127,MPI_ESM_MR_2.6,2.6,Y
2064,4,0.25980091,MPI_ESM_MR_2.6,2.6,Y
2065,4,1.94287395,MPI_ESM_MR_2.6,2.6,Y
2066,4,1.02280235,MPI_ESM_MR_2.6,2.6,Y
2067,4,0.27509499,MPI_ESM_MR_2.6,2.6,Y
2068,4,0.71910381,MPI_ESM_MR_2.6,2.6,Y
2069,4,0.89776707,MPI_ESM_MR_2.6,2.6,Y
2070,4,1.03435802,MPI_ESM_MR_2.6,2.6,Y
2071,4,1.02123642,MPI_ESM_MR_2.6,2.6,Y
2072,4,0.09379101,MPI_ESM_MR_2.6,2.6,Y
2073,4,-0.21476841,MPI_ESM_MR_2.6,2.6,Y
2074,4,1.6196537,MPI_ESM_MR_2.6,2.6,Y
2075,4,1.99726868,MPI_ESM_MR_2.6,2.6,Y
2076,4,2.55902672,MPI_ESM_MR_2.6,2.6,Y
2077,4,2.51447296,MPI_ESM_MR_2.6,2.6,Y
2078,4,2.65775299,MPI_ESM_MR_2.6,2.6,Y
2079,4,2.73816681,MPI_ESM_MR_2.6,2.6,Y
2080,4,2.22126198,MPI_ESM_MR_2.6,2.6,Y
2081,4,1.52102375,MPI_ESM_MR_2.6,2.6,Y
2082,4,1.85261345,MPI_ESM_MR_2.6,2.6,Y
2083,4,0.87464428,MPI_ESM_MR_2.6,2.6,Y
2084,4,2.47425556,MPI_ESM_MR_2.6,2.6,Y
2085,4,1.18024445,MPI_ESM_MR_2.6,2.6,Y
2086,4,1.21632576,MPI_ESM_MR_2.6,2.6,Y
2087,4,1.83437443,MPI_ESM_MR_2.6,2.6,Y
2088,4,2.89737225,MPI_ESM_MR_2.6,2.6,Y
2089,4,1.78919601,MPI_ESM_MR_2.6,2.6,Y
2090,4,2.19265461,MPI_ESM_MR_2.6,2.6,Y
2091,4,1.65074825,MPI_ESM_MR_2.6,2.6,Y
2092,4,0.84493351,MPI_ESM_MR_2.6,2.6,Y
2093,4,2.53236103,MPI_ESM_MR_2.6,2.6,Y
2094,4,1.89564991,MPI_ESM_MR_2.6,2.6,Y
2095,4,1.09537888,MPI_ESM_MR_2.6,2.6,Y
2096,4,0.9286356,MPI_ESM_MR_2.6,2.6,Y
2097,4,0.21365833,MPI_ESM_MR_2.6,2.6,Y
2098,4,1.28324413,MPI_ESM_MR_2.6,2.6,Y
2099,4,1.10571098,MPI_ESM_MR_2.6,2.6,Y
2020,4,0.64955044,MIROC_ESM_4.5,4.5,Y
2021,4,0.20833015,MIROC_ESM_4.5,4.5,Y
2022,4,1.37584782,MIROC_ESM_4.5,4.5,Y
2023,4,1.71265697,MIROC_ESM_4.5,4.5,Y
2024,4,2.84980679,MIROC_ESM_4.5,4.5,Y
2025,4,1.16032505,MIROC_ESM_4.5,4.5,Y
2026,4,1.383708,MIROC_ESM_4.5,4.5,Y
2027,4,1.83021736,MIROC_ESM_4.5,4.5,Y
2028,4,1.35995007,MIROC_ESM_4.5,4.5,Y
2029,4,3.01293278,MIROC_ESM_4.5,4.5,Y
2030,4,1.89468956,MIROC_ESM_4.5,4.5,Y
2031,4,1.10267258,MIROC_ESM_4.5,4.5,Y
2032,4,2.43224812,MIROC_ESM_4.5,4.5,Y
2033,4,1.17836761,MIROC_ESM_4.5,4.5,Y
2034,4,2.95142555,MIROC_ESM_4.5,4.5,Y
2035,4,2.37924194,MIROC_ESM_4.5,4.5,Y
2036,4,1.90544033,MIROC_ESM_4.5,4.5,Y
2037,4,2.5834341,MIROC_ESM_4.5,4.5,Y
2038,4,0.75929928,MIROC_ESM_4.5,4.5,Y
2039,4,2.03725815,MIROC_ESM_4.5,4.5,Y
2040,4,2.19691467,MIROC_ESM_4.5,4.5,Y
2041,4,1.08137417,MIROC_ESM_4.5,4.5,Y
2042,4,2.16866398,MIROC_ESM_4.5,4.5,Y
2043,4,2.38148403,MIROC_ESM_4.5,4.5,Y
2044,4,3.64839554,MIROC_ESM_4.5,4.5,Y
2045,4,4.07562447,MIROC_ESM_4.5,4.5,Y
2046,4,1.10108852,MIROC_ESM_4.5,4.5,Y
2047,4,2.40767288,MIROC_ESM_4.5,4.5,Y
2048,4,3.0693655,MIROC_ESM_4.5,4.5,Y
2049,4,2.36841583,MIROC_ESM_4.5,4.5,Y
2050,4,1.72143745,MIROC_ESM_4.5,4.5,Y
2051,4,2.74267292,MIROC_ESM_4.5,4.5,Y
