YEAR,OBS_GEAR_CODE,FMP_GEAR,FMP_SUBAREA,MONTH,NHAUL,NVES,MCPUEW,MCPUEN,sdCPUEW,sdCPUEN
2014,1,TRW,BS,5,195,4,62.7731056,64.05240284,44.71803962,45.68210003
2014,1,TRW,BS,6,3,2,9.674970798,3.771026479,1.626383219,2.127252193
2014,1,TRW,BS,7,1,1,15.57862745,5.109803922,NA,NA
2014,1,TRW,BS,8,106,4,31.54587588,16.82909097,28.62040038,18.05664531
2014,1,TRW,BS,9,48,5,52.50553213,28.05124445,47.29331002,28.57073638
2014,1,TRW,BS,10,2,2,18.37956572,4.842326362,15.12002256,3.868865603
2014,1,TRW,BS,12,1,1,23.73156425,11.19180633,NA,NA
2015,1,TRW,BS,1,125,21,18.11634864,4.274962291,11.49356031,3.122477592
2015,1,TRW,BS,2,490,33,56.86793238,13.08154152,35.76567712,9.881316746
2015,1,TRW,BS,3,505,29,73.44071238,20.2890283,80.31657437,23.93748318
2015,1,TRW,BS,4,191,21,48.77830346,22.38192476,50.42578577,29.41530937
2015,1,TRW,BS,5,75,5,60.49914379,39.03728086,48.56914923,32.50239394
2015,1,TRW,BS,6,59,1,49.46759108,35.70241817,40.03953882,28.086505
2015,1,TRW,BS,7,8,3,53.22606706,21.95464763,41.89736457,14.15081434
2015,1,TRW,BS,8,87,4,107.0582615,36.40638381,136.444312,41.11941018
2015,1,TRW,BS,9,7,1,14.01377588,4.429317537,8.906293108,2.363997036
2015,1,TRW,BS,10,1,1,4.132222222,1.911111111,NA,NA
2016,1,TRW,BS,1,54,13,38.1742555,16.16875591,86.13919521,51.80815434
2016,1,TRW,BS,2,807,46,63.79983157,18.69699064,45.09324609,17.38153049
2016,1,TRW,BS,3,476,33,88.17574859,27.4782576,112.5479948,34.07391544
2016,1,TRW,BS,4,176,22,47.12344284,15.08677126,72.18352126,23.13988532
2016,1,TRW,BS,6,46,5,24.31590847,5.981971418,16.76866108,4.979304442
2016,1,TRW,BS,7,34,3,39.71952022,10.75393286,26.63016616,6.941640301
2016,1,TRW,BS,8,31,3,25.53007938,7.075245553,12.98426238,3.158567986
2016,1,TRW,BS,9,35,3,23.07060417,6.531744979,14.8857135,4.039024714
2016,1,TRW,BS,10,32,6,30.38857135,7.362992361,21.07177517,4.590579756
2016,1,TRW,BS,11,21,1,55.02398201,10.27762709,50.0892263,8.223981603
2017,1,TRW,BS,1,146,16,40.57863012,8.574402436,31.12142054,6.642092651
2017,1,TRW,BS,2,965,45,87.80850154,20.15572412,75.57239209,18.42021629
2017,1,TRW,BS,3,64,8,88.70589347,32.26174636,73.00349198,30.44695267
2017,1,TRW,BS,4,117,15,78.508004,28.04476279,88.27863044,32.18388271
2017,1,TRW,BS,5,23,2,22.32756226,12.77144813,19.71985472,11.22004614
2017,1,TRW,BS,6,21,3,15.97535611,4.421822347,42.68682295,11.74249027
