YEAR,LENGTH,TOTAL
2013,45,9390532
2013,46,8117341
2013,47,7072708
2013,48,8712000
2013,49,8289159
2013,50,8293571
2013,51,6257402
2013,52,6080746
2013,53,5800417
2013,54,6530327
2013,55,8626069
2013,56,8125514
2013,57,9016342
2013,58,10846158
2013,59,10371555
2013,60,10841623
2013,61,11232218
2013,62,9882212
2013,63,8228406
2013,64,7456410
2013,65,6819036
2013,66,5870478
2013,67,5461849
2013,68,3877528
2013,69,3700766
2013,70,2683085
2013,71,1994858
2013,72,1723228
2013,73,1410934
2013,74,879376
2013,75,637501
2013,76,396630
2013,77,403340
2013,78,221242
2013,79,255054
2013,80,294115
2013,81,100502
2013,82,94064
2013,83,117207
2013,84,125182
2013,85,136034
2013,86,24357
2013,87,36081
2013,88,38077
2013,89,36896
2013,90,10541
2013,91,32768
2013,92,13749
2013,93,10541
2013,97,38243
2013,98,19100
2013,100,19156
2013,102,7600
2013,110,16259
2015,4,18162
2015,6,12718
2015,12,52366
2015,13,78766
2015,14,174752
2015,15,451240
2015,16,913526
2015,17,1057040
2015,18,978607
2015,19,1462635
2015,20,1394394
2015,21,1072303
2015,22,1297500
2015,23,1141956
2015,24,1234408
2015,25,1002325
2015,26,812656
2015,27,650576
2015,28,476146
2015,29,389652
2015,30,596852
2015,31,477766
2015,32,1030367
2015,33,1038322
2015,34,2037032
2015,35,3733838
2015,36,3708164
2015,37,5729349
2015,38,6292842
2015,39,6367697
2015,40,5871541
2015,41,5020544
2015,42,4580790
2015,43,4329202
2015,44,4915611
2015,45,5827033
2015,46,7203002
2015,47,7856006
2015,48,8705002
2015,49,9619118
2015,50,9652174
2015,51,9624547
2015,52,9303520
2015,53,7516265
2015,54,7181008
2015,55,6482207
2015,56,4923312
2015,57,4292109
2015,58,3492422
2015,59,3244572
2015,60,2606665
2015,61,2467436
2015,62,1791283
2015,63,1643517
2015,64,1476792
2015,65,1651781
2015,66,1347876
2015,67,1218340
2015,68,821730
2015,69,811148
2015,70,533937
2015,71,628938
2015,72,620216
2015,73,670697
2015,74,609997
2015,75,389138
2015,76,226917
2015,77,218363
2015,78,210707
2015,79,190833
2015,80,142518
2015,81,248408
2015,82,48439
2015,83,175353
2015,84,44965
2015,85,62016
2015,86,13577
2015,87,41576
2015,88,78675
2015,89,13141
2015,90,98782
2015,91,5823
2015,92,43397
2015,93,11646
2015,94,15808
2015,95,19256
2015,97,9628
2015,98,6479
2015,102,15673
2017,14,70763
2017,15,215952
2017,16,353815
2017,17,495341
2017,18,314036
2017,19,150258
2017,20,333297
2017,21,288062
2017,22,534714
2017,23,496914
2017,24,1022970
2017,25,921450
2017,26,844454
2017,27,866943
2017,28,769408
2017,29,1042673
2017,30,539428
2017,31,505756
2017,32,233736
2017,33,161545
2017,34,151462
2017,35,281837
2017,36,161875
2017,37,208981
2017,38,184701
2017,39,479778
2017,40,310024
2017,41,475878
2017,42,377560
2017,43,687265
2017,44,605601
2017,45,622948
2017,46,502340
2017,47,734030
2017,48,1159131
2017,49,1599004
2017,50,1702039
2017,51,1552501
2017,52,2532831
2017,53,1962866
2017,54,3452120
2017,55,2462983
2017,56,1987085
2017,57,2764183
2017,58,2550830
2017,59,1996224
2017,60,1708888
2017,61,1431185
2017,62,1423673
2017,63,1058646
2017,64,1366228
2017,65,715815
2017,66,655959
2017,67,355465
2017,68,491404
2017,69,741722
2017,70,537520
2017,71,478217
2017,72,538241
2017,73,343489
2017,74,248404
2017,75,240883
2017,76,294136
2017,77,235910
2017,78,174674
2017,79,138805
2017,80,157863
2017,81,185414
2017,82,106830
2017,83,123797
2017,84,105789
2017,85,74743
2017,86,72717
2017,87,84062
2017,88,97726
2017,89,59918
2017,90,69210
2017,91,39227
2017,92,43689
2017,93,12939
2017,94,13311
2017,95,34035
2017,97,31641
2017,98,39364
2019,6,195321
2019,7,321663
2019,8,429776
2019,9,157659
2019,14,20144
2019,16,129392
2019,17,249569
2019,18,655796
2019,19,797491
2019,20,1461636
2019,21,2169110
2019,22,2499826
2019,23,2482950
2019,24,2712162
2019,25,2110152
2019,26,3108186
2019,27,2034344
2019,28,2211480
2019,29,2384776
2019,30,2138345
2019,31,1482499
2019,32,1182011
2019,33,1119487
2019,34,1121980
2019,35,429597
2019,36,638758
2019,37,803024
2019,38,849469
2019,39,721199
2019,40,971645
2019,41,1313369
2019,42,2551138
2019,43,2817681
2019,44,3620348
2019,45,4703430
2019,46,5285510
2019,47,6143348
2019,48,5371891
2019,49,5343206
2019,50,5588338
2019,51,4467837
2019,52,2905355
2019,53,3691457
2019,54,3073928
2019,55,2143877
2019,56,2641830
2019,57,1993160
2019,58,2264236
2019,59,2401031
2019,60,2093692
2019,61,2155382
2019,62,1745470
2019,63,1721542
2019,64,1506622
2019,65,1371422
2019,66,1208076
2019,67,1165008
2019,68,976189
2019,69,624542
2019,70,717479
2019,71,767435
2019,72,738021
2019,73,431568
2019,74,437927
2019,75,201561
2019,76,485215
2019,77,253479
2019,78,279837
2019,79,180973
2019,80,245479
2019,81,270974
2019,82,295874
2019,83,128718
2019,84,136062
2019,85,131482
2019,86,134632
2019,87,157333
2019,88,141382
2019,89,96266
2019,90,61162
2019,92,48566
2019,93,46393
2019,94,122916
2019,95,18533
2019,98,72610
2019,99,18263
2019,100,19114
2021,13,34398
2021,14,226715
2021,15,230736
2021,16,491849
2021,17,651900
2021,18,706011
2021,19,981872
2021,20,644627
2021,21,824838
2021,22,809429
2021,23,825183
2021,24,1070428
2021,25,1166635
2021,26,1061900
2021,27,1414382
2021,28,1222072
2021,29,1451238
2021,30,941291
2021,31,1012640
2021,32,393098
2021,33,432476
2021,34,222051
2021,35,377198
2021,36,267587
2021,37,266215
2021,38,308878
2021,39,434901
2021,40,564009
2021,41,823040
2021,42,845797
2021,43,1211044
2021,44,1015163
2021,45,1200524
2021,46,1656525
2021,47,1433780
2021,48,1562218
2021,49,2102406
2021,50,2173089
2021,51,2447799
2021,52,3036504
2021,53,2730869
2021,54,2972527
2021,55,3695119
2021,56,4010118
2021,57,3691242
2021,58,3269524
2021,59,3123371
2021,60,3694154
2021,61,2757523
2021,62,2932305
2021,63,2078544
2021,64,2110303
2021,65,2094206
2021,66,1564693
2021,67,1505700
2021,68,1191553
2021,69,1308248
2021,70,1042200
2021,71,1160503
2021,72,820397
2021,73,592114
2021,74,580471
2021,75,315452
2021,76,261323
2021,77,417465
2021,78,159181
2021,79,258945
2021,80,239853
2021,81,203056
2021,82,106524
2021,83,194125
2021,84,242752
2021,85,152757
2021,86,38847
2021,87,109828
2021,88,128302
2021,89,143715
2021,90,55698
2021,91,63816
2021,92,77920
2021,93,76879
2021,94,45616
2021,95,21395
2021,98,64423
2021,99,16525
2021,100,16525
2021,102,34624
2023,10,19656
2023,12,48888
2023,13,82076
2023,14,159832
2023,15,576253
2023,16,547887
2023,17,1483371
2023,18,1341819
2023,19,1378877
2023,20,1503173
2023,21,1639713
2023,22,1852634
2023,23,1183553
2023,24,1859670
2023,25,1735426
2023,26,1705208
2023,27,1404462
2023,28,1271290
2023,29,1404709
2023,30,1286741
2023,31,1026489
2023,32,1712434
2023,33,1231344
2023,34,2374394
2023,35,2547014
2023,36,2116274
2023,37,3033263
2023,38,3485734
2023,39,3336068
2023,40,2648139
2023,41,3135419
2023,42,3687567
2023,43,2602846
2023,44,2833325
2023,45,2876388
2023,46,2235110
2023,47,2478879
2023,48,2081132
2023,49,2171779
2023,50,1735559
2023,51,2126618
2023,52,2633143
2023,53,2575152
2023,54,3352439
2023,55,3401003
2023,56,3667721
2023,57,3504838
2023,58,3408877
2023,59,3614078
2023,60,3204023
2023,61,3035351
2023,62,2678712
2023,63,2248687
2023,64,2543188
2023,65,2177923
2023,66,2000246
2023,67,2635119
2023,68,2087563
2023,69,2267810
2023,70,1842978
2023,71,1233932
2023,72,1617917
2023,73,1696997
2023,74,1513115
2023,75,1290067
2023,76,715241
